2018-01-31 11:05:27,352 INFO 57590 [egg:logger] init all loggers with options: {"dir":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/logs","encoding":"utf8","env":"local","level":"INFO","consoleLevel":"DEBUG","disableConsoleAfterReady":false,"outputJSON":false,"buffer":true,"appLogName":"ttv-web.log","coreLogName":"egg-web.log","agentLogName":"egg-agent.log","errorLogName":"common-error.log","coreLogger":{"consoleLevel":"WARN"},"allowDebugAtProd":true,"type":"agent"}
2018-01-31 11:11:27,665 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/app/web/page/index/index.vue","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38191184,"size":2629,"blocks":8,"atimeMs":1517368287000,"mtimeMs":1517368287000,"ctimeMs":1517368287000,"birthtimeMs":1517367744000,"atime":"2018-01-31T03:11:27.000Z","mtime":"2018-01-31T03:11:27.000Z","ctime":"2018-01-31T03:11:27.000Z","birthtime":"2018-01-31T03:02:24.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 11:11:28,199 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/app/view/node_modules/0.js","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38231856,"size":4922,"blocks":16,"atimeMs":1517367942000,"mtimeMs":1517368288000,"ctimeMs":1517368288000,"birthtimeMs":1517367942000,"atime":"2018-01-31T03:05:42.000Z","mtime":"2018-01-31T03:11:28.000Z","ctime":"2018-01-31T03:11:28.000Z","birthtime":"2018-01-31T03:05:42.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 11:11:28,406 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/config/manifest.json","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38231858,"size":3513,"blocks":8,"atimeMs":1517368140000,"mtimeMs":1517368288000,"ctimeMs":1517368288000,"birthtimeMs":1517367945000,"atime":"2018-01-31T03:09:00.000Z","mtime":"2018-01-31T03:11:28.000Z","ctime":"2018-01-31T03:11:28.000Z","birthtime":"2018-01-31T03:05:45.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 13:24:06,817 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/app/web/page/test/test.vue","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38191198,"size":709,"blocks":8,"atimeMs":1517376246000,"mtimeMs":1517376246000,"ctimeMs":1517376246000,"birthtimeMs":1517367744000,"atime":"2018-01-31T05:24:06.000Z","mtime":"2018-01-31T05:24:06.000Z","ctime":"2018-01-31T05:24:06.000Z","birthtime":"2018-01-31T03:02:24.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 13:24:08,315 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/app/view/node_modules/0.js","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38231856,"size":4922,"blocks":16,"atimeMs":1517367942000,"mtimeMs":1517376248000,"ctimeMs":1517376248000,"birthtimeMs":1517367942000,"atime":"2018-01-31T03:05:42.000Z","mtime":"2018-01-31T05:24:08.000Z","ctime":"2018-01-31T05:24:08.000Z","birthtime":"2018-01-31T03:05:42.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 13:24:08,387 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/config/manifest.json","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38231858,"size":3513,"blocks":8,"atimeMs":1517368140000,"mtimeMs":1517376248000,"ctimeMs":1517376248000,"birthtimeMs":1517367945000,"atime":"2018-01-31T03:09:00.000Z","mtime":"2018-01-31T05:24:08.000Z","ctime":"2018-01-31T05:24:08.000Z","birthtime":"2018-01-31T03:05:45.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 13:24:34,887 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/app/web/page/test/test.vue","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38191198,"size":728,"blocks":8,"atimeMs":1517376274000,"mtimeMs":1517376274000,"ctimeMs":1517376274000,"birthtimeMs":1517367744000,"atime":"2018-01-31T05:24:34.000Z","mtime":"2018-01-31T05:24:34.000Z","ctime":"2018-01-31T05:24:34.000Z","birthtime":"2018-01-31T03:02:24.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 13:24:36,121 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/app/view/node_modules/0.js","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38231856,"size":4922,"blocks":16,"atimeMs":1517367942000,"mtimeMs":1517376276000,"ctimeMs":1517376276000,"birthtimeMs":1517367942000,"atime":"2018-01-31T03:05:42.000Z","mtime":"2018-01-31T05:24:36.000Z","ctime":"2018-01-31T05:24:36.000Z","birthtime":"2018-01-31T03:05:42.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 13:24:36,693 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/config/manifest.json","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38231858,"size":3513,"blocks":8,"atimeMs":1517368140000,"mtimeMs":1517376276000,"ctimeMs":1517376276000,"birthtimeMs":1517367945000,"atime":"2018-01-31T03:09:00.000Z","mtime":"2018-01-31T05:24:36.000Z","ctime":"2018-01-31T05:24:36.000Z","birthtime":"2018-01-31T03:05:45.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 13:24:40,194 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/app/web/page/test/test.vue","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38191198,"size":709,"blocks":8,"atimeMs":1517376280000,"mtimeMs":1517376280000,"ctimeMs":1517376280000,"birthtimeMs":1517367744000,"atime":"2018-01-31T05:24:40.000Z","mtime":"2018-01-31T05:24:40.000Z","ctime":"2018-01-31T05:24:40.000Z","birthtime":"2018-01-31T03:02:24.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2018-01-31 13:24:40,244 INFO 57590 Recieved a change event from eventSource: {"event":"change","path":"/Users/shunpingqi/Desktop/sedawk/tt/ttv/app/web/page/test/test.vue","stat":{"dev":16777220,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":38191198,"size":709,"blocks":8,"atimeMs":1517376280000,"mtimeMs":1517376280000,"ctimeMs":1517376280000,"birthtimeMs":1517367744000,"atime":"2018-01-31T05:24:40.000Z","mtime":"2018-01-31T05:24:40.000Z","ctime":"2018-01-31T05:24:40.000Z","birthtime":"2018-01-31T03:02:24.000Z"},"remove":false,"isDirectory":false,"isFile":true}
